"Левенштейн, Владимир Иосифович",1935,2017
Игорь Ансов,1918,2002
Гурий Иванович Марчук,1925,2013
Владимир Александрович Котельников,1908,2005
Игорь Ростиславович Шафаревич,1923,2017
Илья Иосифович Пятецкий-Шапиро,1929,2009
Аскольд Иванович Виноградов,1929,2005
"Дубровин, Борис Анатольевич",1950,2019
"Кордемский, Борис Анастасьевич",1907,1999
"Гнеденко, Борис Владимирович",1912,1995
"Кон-Фоссен, Стефан Эммануилович",1902,1936
"Нётер, Фриц",1884,1941
"Адельсон-Вельский, Георгий Максимович",1922,2014
Виктор Михайлович Глушков,1923,1982
"Наймарк, Марк Аронович",1909,1978
"Вентцель, Елена Сергеевна",1907,2002
"Селиванов, Дмитрий Фёдорович",1855,1932
"Фаддеев, Дмитрий Константинович",1907,1989
"Аносов, Дмитрий Викторович",1936,2014
Григорий Фихтенгольц,1888,1959
"Маркович, Сима",1888,1939
Евгений Дынкин,1924,2014
Александр Мелентьевич Волков,1891,1977
"Линник, Юрий Владимирович",1915,1972
"Курош, Александр Геннадиевич",1908,1971
"Петровский, Иван Георгиевич",1901,1973
"Жегалкин, Иван Иванович",1869,1947
"Игнатовский, Владимир Сергеевич",1875,1942
"Ахиезер, Наум Ильич",1901,1980
"Кравчук, Михаил Филиппович",1892,1942
"Люстерник, Лазарь Аронович",1899,1981
"Хачиян, Леонид Генрихович",1952,2005
Илья Векуа,1907,1977
"Воронин, Сергей Михайлович",1946,1997
"Кочин, Николай Евграфович",1901,1944
"Шилов, Георгий Евгеньевич",1917,1975
"Левин, Виктор Иосифович",1909,1986
"Яглом, Исаак Моисеевич",1921,1988
"Свирежев, Юрий Михайлович",1938,2007
"Каток, Анатолий Борисович",1944,2018
Анатолий Иванович Мальцев,1909,1967
Скороход Анатолий Владимирович,1930,2011
"Зелевинский, Андрей",1953,2013
Алексей Николаевич Крылов,1863,1945
Владимир Андреевич Стеклов,1864,1926
"Перельман, Яков Исидорович",1882,1942
"Чеботарёв, Николай Григорьевич",1894,1947
"Гохберг, Израиль Цудикович",1928,2009
"Норден, Александр Петрович",1904,1993
"Есенин-Вольпин, Александр Сергеевич",1924,2016
"Мусхелишвили, Николай",1891,1976
Михаил Алексеевич Лаврентьев,1900,1980
"Слуцкий, Евгений Евгеньевич",1880,1948
"Гельфонд, Александр Осипович",1906,1968
"Гершгорин, Семён Аронович",1901,1933
Александр Яковлевич Хинчин,1894,1959
Дмитрий Фёдорович Егоров,1869,1931
"Голубев, Владимир Васильевич",1884,1954
"Субботовская, Белла Абрамовна",1938,1982
Владислав Иосифович Борткевич,1868,1931
"Розенфельд, Борис Абрамович",1917,2008
"Галеркин, Борис Григорьевич",1871,1945
"Лаптев, Борис Лукич",1905,1989
"Левитан, Борис Моисеевич",1914,2004
"Делоне, Борис Николаевич",1890,1980
Мартин Почобут-Одляницкий,1728,1810
"Каринский, Михаил Иванович",1840,1917
Игорь Адо,1910,1983
Ян Снядецкий,1756,1830
Иоганн Альбрехт Эйлер,1734,1800
Антанас Баранаускас,1835,1902
"Трахтенберг, Яков",1888,1953
"Герман, Якоб",1678,1733
"Порецкий, Платон Сергеевич",1846,1907
"Инкулец, Ион Константинович",1884,1940
Евграф Степанович Фёдоров,1853,1919
"Фабиан, Оскар",1846,1899
Кароль Ольшевский,1846,1915
Эрнст Леонард Линделёф,1870,1946
Тадеуш Банахевич,1882,1954
Натан Джекобсон,1910,1999
"Журавский, Дмитрий Иванович",1822,1891
"Башмакова, Изабелла Григорьевна",1921,2005
Юрий Смирнов,1921,2007
Марк Иосифович Граев,1922,2017
"Лаврентьев, Михаил Михайлович",1932,2010
"Седов, Леонид Иванович",1907,1999
"Шанин, Николай Александрович",1919,2011
"Минлос, Роберт Адольфович",1931,2018
"Голод, Евгений Соломонович",1935,2018
Григорий Исаакович Баренблатт,1927,2018
"Брашман, Николай Дмитриевич",1796,1866
Q1675618,1901,1976
"Тимченко, Иван Юрьевич",1863,1939
"Гарбиньский, Кажетан",1796,1847
Людмила Всеволодовна Келдыш,1904,1976
"Крылов, Николай Митрофанович",1879,1955
"Цингер, Василий Яковлевич",1836,1907
"Подолинский, Сергей Андреевич",1850,1891
Георгий Александрович Ботезат,1882,1940
"Лопатинский, Ярослав Борисович",1906,1981
"Зубов, Василий Павлович",1900,1963
"Фаддеева, Вера Николаевна",1906,1983
"Осиповский, Тимофей Фёдорович",1765,1832
"Осиповский, Тимофей Фёдорович",1766,1832
"Немыцкий, Виктор Владимирович",1900,1967
"Бейтлер, Вильгельм Готлиб Фридрих",1745,1811
"Шмульян, Витольд Львович",1914,1944
"Гюнтер, Николай Максимович",1871,1941
"Сохоцкий, Юлиан Васильевич",1842,1927
"Бугаев, Николай Васильевич",1837,1903
Q3061575,1914,2005
"Алексеев, Анатолий Семёнович",1928,2007
"Алексеев, Владимир Михайлович",1932,1980
"Андросенко, Пётр Александрович",1952,2011
"Андрунакиевич, Владимир Александрович",1917,1997
"Бахвалов, Сергей Владимирович",1898,1963
"Бахвалов, Николай Сергеевич",1934,2005
"Беклемишев, Дмитрий Владимирович",1930,2017
"Белецкий, Владимир Васильевич",1930,2017
"Белоцерковский, Олег Михайлович",1925,2015
"Бененсон, Залман Михайлович",1922,2006
"Березин, Иван Семёнович",1920,1982
"Бермант, Анисим",1904,1959
"Бирман, Михаил Шлемович",1928,2009
"Бобров, Сергей Павлович",1889,1971
"Богданов, Рифкат Ибрагимович",1950,2013
"Бондарева, Ольга Николаевна",1937,1991
"Брадис, Владимир Модестович",1890,1975
"Брайцев, Иван Романович",1870,1947
"Бронштейн, Идел Ушерович",1936,2019
"Брудно, Александр Львович",1918,2009
"Бугров, Яков Степанович",1927,1991
"Бюшгенс, Сергей Сергеевич",1882,1963
Александр Вавилов,1922,1983
"Вайнштейн, Борис Самойлович",1907,1993
"Васильев, Александр Васильевич",1853,1929
"Васильев, Николай Александрович",1880,1940
"Великанова, Татьяна Михайловна",1932,2002
"Вильямс, Николай Николаевич",1926,2006
"Владиславлев, Сергей Владимирович",1883,1972
"Воеводин, Валентин Васильевич",1934,2007
"Кузнецов, Николай Васильевич (математик)",1939,2010
"Купрадзе, Виктор Дмитриевич",1903,1985
"Лавров, Святослав Сергеевич",1923,2004
"Лавут, Александр Павлович",1929,2013
"Латипов, Халим Рафикович",1933,2014
Леонид Кузьмич Лахтин,1863,1927
"Левин, Юрий Иосифович",1935,2010
"Левченков, Вячеслав Степанович",1946,2011
"Леонтьев, Алексей Фёдорович",1917,1987
