"Аникин, Валерий Михайлович",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анисимов, Василий Афанасьевич",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Анкудович, Викентий Александрович",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аносов, Дмитрий Викторович",1,8,1,1,1936,2010,9383,39,101,10,3111,0,2,23,28,11,,,,,,,66,863,8,Аносов Дмитрий Викторович ,77,483,27179,,,,да
"Антипин, Анатолий Сергеевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Аппельрот, Герман Германович",1,1,0,0,1866,2011,10073,9,36,0,630,0,2,5,25,0,,,,,,,,,,Аппельрот Герман Германович,12,5,1032,,,,нет
"Арак, Тайво Викторович",1,1,0,0,1946,2016,3581,4,6,0,110,0,2,2,13,4,,,,,,,,,,Арак Т В,10,34,827,,,,да
"Аракелов, Сурен Юрьевич",1,2,0,0,1947,2013,8591,14,28,5,1013,0,2,2,22,1,,,,,,,,,,Аракелов С Ю,2,38,1156,,,,нет
"Аракелян, Норайр Унанович",1,1,0,1,1936,2007,5383,24,37,2,543,0,7,8,43,2,,,,,,,,,,Аракелян Норайр Унанович,5,18,1108,,,,нет
"Араркцян, Бабкен Гургенович",1,1,0,0,1944,2007,6516,23,47,3,1762,0,8,5,70,1,,,,,,,,,,Араркцян Бабкен Гургенович,4,1,171,,,,нет
"Аристов, Владимир Владимирович",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Арнольд, Виталий Дмитриевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Арнольд, Владимир Игоревич",1,8,1,1,1937,2006,36258,182,353,41,36168,45,7,219,145,8,,,,,,,357,9341,26,Арнольд Владимир Игоревич,314,2440,120802,,,,да
"Арсланов, Марат Мирзаевич",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Артамонов, Вячеслав Александрович",1,2,0,0,1946,2006,5531,30,45,0,1186,0,7,13,38,1,,,,,,,93,414,7,Артамонов Вячеслав Александрович,45,161,7674,,,,да
"Архангельский, Александр Владимирович",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Архангельский, Николай Михеевич",0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
