 Житомирская, Светлана Яковлевна: 42.52
 Рвачёв, Владимир Логвинович: 42.51
 Лупанов, Олег Борисович: 42.49
 Адян, Сергей Иванович: 42.43
 Вроньский, Юзеф: 42.2
 Мергелян, Сергей Никитович: 42.07
 Постников, Михаил Михайлович: 41.93
 Мильман, Виталий Давидович: 41.68
 Паршин, Алексей Николаевич: 41.65
 Рапопорт, Анатолий Борисович: 41.59
 Мальцев, Анатолий Иванович: 41.55
 Ремез, Евгений Яковлевич: 41.49
 Polishchuk, Vyacheslav Kalashnikov: 41.22
 Чеботарёв, Николай Григорьевич: 40.51
 Фаддеев, Дмитрий Константинович: 40.37
 Кутателадзе, Семён: 40.21
 Сеченов, Иван Михайлович: 40.19
 Ахиезер, Наум: 40.19
 Слуцкий, Евгений Евгеньевич: 40.07
 Вапник, Владимир Наумович: 39.99
 Солодовников, Владимир Викторович: 39.97
 Юшкевич, Адольф Павлович: 39.75
 Меньшов, Дмитрий Евгеньевич: 39.65
 Фихтенгольц, Григорий: 39.56
 Ерёмин, Иван Иванович: 39.54
 Королёв, Лев Николаевич: 39.53
 Крылов, Николай Митрофанович: 39.48
 Зубов, Василий Павлович: 39.41
 Хованов, Михаил: 39.33
 Сусова, Галина Михайловна: 39.33
 Мищенко, Евгений Фролович: 39.13
 Аносов, Дмитрий Викторович: 38.99
 Тарунин, Евгений Леонидович: 38.83
 Кострикин, Алексей Иванович: 38.69
 Шпильрейн, Ян Николаевич: 38.65
 Исаханлы, Гамлет Абдулла оглы: 38.61
 Прохоров, Юрий Васильевич: 38.47
 Лебедев, Вячеслав Иванович: 38.41
 Келдыш, Людмила Всеволодовна: 38.25
 Кольман, Эрнест Яромирович: 38.23
 Филиппов, Алексей Фёдорович: 38.13
 Борткевич, Владислав Иосифович: 37.86
 Шнирельман, Лев Генрихович: 37.83
 Березин, Феликс Александрович: 37.66
 Забабахин, Евгений Иванович: 37.55
 Гребенщиков, Борис Борисович: 37.54
 Вербицкий, Михаил Сергеевич: 37.51
 Михайлов, Валентин Петрович: 37.45
 Немыцкий, Виктор Владимирович: 37.29
 Дуров, Николай: 37.16
 Богомолов, Фёдор: 37.09
 Башмаков, Марк Иванович: 37.06
 Ершов, Юрий Леонидович: 36.67
 Кит, Борис Владимирович: 36.58
 Тихомиров, Владимир Михайлович: 36.54
 Кочина, Пелагея Яковлевна: 36.53
 Белоцерковский, Олег Михайлович: 36.51
 Носовский, Глеб Владимирович: 36.45
 Виленкин, Наум Яковлевич: 36.45
 Окуньков, Андрей Юрьевич: 36.31
 Овсянников, Лев Васильевич: 36.23
 Чередник, Иван: 36.17
 Бронштейн, Идел Ушерович: 36.13
 Фусс, Николай Иванович: 36.1
 Ландо, Сергей Константинович: 35.96
 Шор, Наум Зуселевич: 35.89
 Ландис, Евгений Михайлович: 35.85
 Пенский, Олег Геннадьевич: 35.8
 Миндинг, Фердинанд: 35.68
 Гребеников, Евгений Александрович: 35.61
 Аракелян, Норайр Унанович: 35.57
 Гантмахер, Феликс Рувимович: 35.54
 Ширшов, Анатолий Илларионович: 35.49
 Штокало, Иосиф Захарович: 35.47
 Кашин, Борис: 35.45
 Решетняк, Юрий Григорьевич: 35.45
 Яглом, Акива Моисеевич: 35.29
 Райков, Дмитрий Абрамович: 35.29
 Успенский, Владимир Андреевич: 35.27
 Воеводский, Владимир Александрович: 35.01
 Болотов, Виктор Александрович: 34.92
 Купрадзе, Виктор Дмитриевич: 34.89
 Некрасов, Павел Алексеевич: 34.87
 Новиков, Пётр Сергеевич: 34.75
 Френкель, Эдвард: 34.64
 Гончар, Андрей Александрович: 34.61
 Григорчук, Ростислав Иванович: 34.61
 Вороной, Георгий Феодосьевич: 34.49
 Ремесленников, Владимир Никанорович: 34.38
 Пионтковский, Андрей: 34.29
 Андреев, Николай Николаевич: 34.21
 Лахтин, Леонид Кузьмич: 34.19
 Eрмеков, Алимхан: 34.1
 Жидков, Николай Петрович: 34.09
 Зелевинский, Андрей: 33.91
 Кубилюс, Йонас: 33.77
 Рохлин, Владимир: 33.63
 Шилов, Георгий Евгеньевич: 33.63
 Ершов, Андрей Петрович: 33.61
 Маланин, Владимир Владимирович: 33.56
 Плющ, Леонид Иванович: 33.52
 Ефимов, Николай Владимирович: 33.49
 Рипс, Илья Аронович: 33.42
 Перельман, Яков Исидорович: 33.34
 Харлампович, Ольга Георгиевна: 33.33
 Брин, Михаил Израилевич: 33.31
 Полянин, Андрей Дмитриевич: 33.21
 Хлебников, Михаил Владимирович: 33.15
 Ибрагимов, Ильдар Абдуллович: 33.05
 Кудрявцев, Лев Дмитриевич: 32.93
 Данилов, Владимир Иванович: 32.93
 Гельфанд, Сергей Израилевич: 32.89
 Мельник, Семён Ильич: 32.86
 Кириллов, Александр Александрович: 32.84
 Воеводин, Владимир Валентинович: 32.8
 Червоненкис, Алексей Яковлевич: 32.7
 Квасов, Дмитрий Викторович: 32.47
 Горбань, Александр Николаевич: 32.41
 Мазуров, Владимир Данилович: 32.3
 Урысон, Павел Самуилович: 32.28
 Боровков, Александр Алексеевич: 32.21
 Привалов, Иван Иванович: 32.17
 Бугаев, Николай Васильевич: 32.02
 Белецкий, Владимир Васильевич: 31.98
 Христианович, Сергей: 31.91
 Костицын, Владимир Александрович: 31.9
 Умов, Николай Алексеевич: 31.72
 Мойшезон, Борис Гершевич: 31.67
 Степин, Анатолий Михайлович: 31.63
 Левин, Леонид Анатольевич: 31.55
 Абрамов, Александр Александрович: 31.53
 Турчин, Валентин Фёдорович: 31.43
 Корнейчук, Николай Павлович: 31.39
 Жегалкин, Иван Иванович: 31.35
 Джекобсон, Натан: 31.16
 Уральцева, Нина: 31.09
 Воробьёв, Николай Николаевич: 31.06
 Конягин, Сергей Владимирович: 31.0
 Лебедев, Николай Фролович: 30.88
 Гихман, Иосиф Ильич: 30.83
 Райгородский, Андрей Михайлович: 30.83
 Добрушин, Роланд Львович: 30.81
 Граев, Марк Иосифович: 30.81
 Волковысский, Лев Израилевич: 30.79
 Стечкин, Сергей Борисович: 30.71
 Волков, Александр Мелентьевич: 30.7
 Цфасман, Михаил Анатольевич: 30.69
 Замятин, Алексей Петрович: 30.69
 Ретах, Владимир Соломонович: 30.69
 Молев, Александр: 30.58
 Черножуков, Виктор Викторович: 30.58
 Третьяков, Владимир Евгеньевич: 30.49
 Бугров, Яков Степанович: 30.41
 Вентцель, Елена Сергеевна: 30.39
 Энеев, Тимур Магометович: 30.39
 Орлов, Александр Иванович: 30.32
 Ляшко, Иван Иванович: 30.19
 Кузьмин, Родион Осиевич: 30.09
 Семячкин, Дмитрий: 30.07
 Новикова, Наталья Михайловна: 30.07
 Липовецкий, Арон: 30.02
 Копанский, Александр Яковлевич: 30.02
 Пажитнов, Алексей Леонидович: 29.98
 Селиванов, Дмитрий Фёдорович: 29.97
 Фон-дер-Флаасс, Дмитрий Германович: 29.85
 Тураев, Владимир Георгиевич: 29.78
 Капранов, Михаил Михайлович: 29.72
 Яблонский, Сергей Всеволодович: 29.69
 Мельников, Иван Иванович: 29.6
 Шрейдер, Юлий Анатольевич: 29.6
 Бердышев, Виталий Иванович: 29.58
 Иванов, Валентин Константинович: 29.54
 Каргаполов, Михаил Иванович: 29.53
 Ожигов, Юрий Игоревич: 29.32
 Разборов, Александр Александрович: 29.26
 Комраков, Борис Петрович: 29.23
 Азбелев, Николай Викторович: 29.13
 Монахов, Валентин Николаевич: 29.13
 Когбетлянц, Ерванд Геворгович: 29.13
 Миркес, Евгений Моисеевич: 29.06
 Суслонов, Владимир Михайлович: 29.06
 Пугачёв, Владимир Семёнович: 29.05
 Лавров, Пётр Лаврович: 29.02
 Малыгина, Вера Владимировна: 29.01
 Брашман, Николай Дмитриевич: 28.92
 Бененсон, Залман Михайлович: 28.91
 Максимов, Владимир Петрович: 28.9
 Бухштабер, Виктор Матвеевич: 28.89
 Сокольников, Иван: 28.88
 Дегаев, Сергей Петрович: 28.88
 Нуут, Юрий Юрьевич: 28.88
 Суслин, Андрей: 28.87
 Иванов, Сергей Владимирович (математик): 28.85
 Шатуновский, Самуил Осипович: 28.78
 Фомин, Сергей Васильевич: 28.71
 Гиндикин, Семён Григорьевич: 28.71
 Ващенко-Захарченко, Михаил Егорович: 28.66
 Хованский, Аскольд Георгиевич: 28.63
 Фаддеева, Вера Николаевна: 28.62
 Рудаков, Константин Владимирович: 28.61
 Андронов, Александр Александрович: 28.55
 Левин, Юрий Иосифович: 28.55
 Бари, Нина Карловна: 28.53
 Султангазин, Умирзак Махмутович: 28.43
 Есенин-Вольпин, Александр Сергеевич: 28.41
 Болибрух, Андрей Андреевич: 28.29
 Гокиели, Леван Петрович: 28.29
 Эйхенбаум, Яков Моисеевич: 28.24
 Шура-Бура, Михаил Романович: 28.15
 Ермаков, Василий Петрович: 28.14
