Гнеденко, Борис Владимирович: 2.162
Турчин, Валентин Фёдорович: 2.157
Адян, Сергей Иванович: 2.145
Фейгин, Борис Львович: 2.138
Солодовников, Владимир Викторович: 2.138
Разборов, Александр Александрович: 2.136
Новиков, Пётр Сергеевич: 2.132
Фаддеев, Дмитрий Константинович: 2.131
Рашевский, Пётр Константинович: 2.128
Протасов, Владимир Юрьевич: 2.119
Васильев, Фёдор Павлович: 2.118
Ахиезер, Наум: 2.117
Макаров, Валерий Леонидович: 2.117
Галеркин, Борис Григорьевич: 2.114
Чеботарёв, Николай Григорьевич: 2.113
Мищенко, Александр Сергеевич: 2.109
Журавлёв, Юрий Иванович: 2.108
Воеводин, Владимир Валентинович: 2.107
Стечкин, Сергей Борисович: 2.102
Виноградов, Дмитрий Вячеславович: 2.1
Лавров, Святослав Сергеевич: 2.099
Свешников, Алексей Георгиевич: 2.098
Курош, Александр Геннадиевич: 2.096
Кострикин, Алексей Иванович: 2.093
Жегалкин, Иван Иванович: 2.09
Дринфельд, Владимир: 2.086
Бердышев, Виталий Иванович: 2.08
Акаев, Аскар Акаевич: 2.076
Носовский, Глеб Владимирович: 2.065
Лебедев, Вячеслав Иванович: 2.064
Левин, Леонид Анатольевич: 2.053
Богомолов, Фёдор: 2.053
Баренблатт, Григорий Исаакович: 2.048
Некрасов, Павел Алексеевич: 2.046
Королёв, Лев Николаевич: 2.044
Тыртышников, Евгений Евгеньевич: 2.038
Тихомиров, Владимир Михайлович: 2.036
Чередник, Иван: 2.036
Кондратьев, Владимир Александрович: 2.027
Вощинин, Александр Павлович: 2.019
Максудов, Фарамаз Газанфар оглы: 2.019
Смирнов, Николай Васильевич: 2.017
Аракелян, Норайр Унанович: 2.016
Левенштейн, Владимир Иосифович: 2.011
Тужилин, Алексей Августинович: 2.01
Краснощёков, Павел Сергеевич: 2.009
Маланин, Владимир Владимирович: 2.008
Эрдниев, Пюрвя Мучкаевич: 2.008
Шор, Наум Зуселевич: 2.007
Гамкрелидзе, Реваз Валерианович: 2.001
Вороной, Георгий Феодосьевич: 2.0
Емельянов, Станислав Васильевич: 1.998
Штокало, Иосиф Захарович: 1.997
Гливенко, Валерий Иванович: 1.991
Мазуров, Владимир Данилович: 1.979
Гребеников, Евгений Александрович: 1.978
Граве, Дмитрий Александрович: 1.974
Каждан, Давид: 1.973
Мельник, Семён Ильич: 1.97
Андреев, Николай Николаевич: 1.969
Егоров, Дмитрий Фёдорович: 1.957
Ершов, Андрей Петрович: 1.945
Бицадзе, Андрей Васильевич: 1.943
Минлос, Роберт Адольфович: 1.942
Соколов, Юрий Дмитриевич: 1.935
Витушкин, Анатолий Георгиевич: 1.932
Березовский, Борис Абрамович: 1.918
Тузиков, Александр Васильевич: 1.918
Фихтенгольц, Григорий: 1.917
Белецкий, Владимир Васильевич: 1.917
Трахтенброт, Борис Авраамович: 1.906
Привалов, Иван Иванович: 1.903
Ишлинский, Александр Юльевич: 1.903
Танаев, Вячеслав Сергеевич: 1.899
Березин, Феликс Александрович: 1.896
