11,4,20,1,1,0,167
1,1,0,1,5,1,52
1,1,0,1,0,0,22
5,1,0,1,4,3,54
1,2,0,0,0,0,12
1,1,0,0,0,0,182
2,0,1,1,1,0,10
1,0,1,0,0,0,20
1,2,0,0,0,1,16
7,1,0,0,0,0,97
3,0,0,0,0,0,24
3,4,4,0,0,0,28
6,1,0,1,10,0,38
1,0,1,0,0,0,13
0,0,0,0,0,0,16
5,0,0,0,0,1,11
3,0,0,0,0,0,11
3,3,0,1,6,0,13
1,0,1,1,0,0,16
3,0,0,0,0,0,8
4,1,0,2,4,3,34
4,1,1,0,0,0,11
1,1,0,0,0,0,6
0,1,0,0,0,0,40
2,0,1,1,3,0,14
2,0,0,0,0,0,13
2,1,1,1,0,0,20
2,0,0,0,5,0,9
4,1,0,1,8,0,20
0,1,0,0,0,0,5
6,1,2,2,5,0,126
2,1,1,2,1,1,32
5,1,0,0,0,0,16
5,1,3,0,2,0,140
4,6,0,0,0,0,25
5,1,3,1,0,0,87
1,1,0,1,5,2,174
13,3,9,1,6,1,142
4,1,5,1,11,1,106
7,1,1,1,1,0,78
1,1,11,0,1,0,43
1,1,0,1,1,0,10
3,0,1,0,1,0,16
5,1,1,1,0,3,86
3,0,0,1,0,0,38
3,1,0,0,0,0,51
1,0,1,0,1,0,15
1,1,0,1,12,2,152
5,1,2,1,0,0,79
3,3,0,2,0,0,94
2,0,1,1,0,0,9
3,1,0,1,0,0,11
8,1,2,1,1,0,98
8,1,6,0,2,1,45
3,1,0,0,1,0,50
2,2,0,0,4,0,42
1,1,1,1,3,0,6
2,1,0,1,6,1,62
2,1,0,1,1,0,16
1,0,0,1,1,0,6
4,0,2,1,0,0,21
1,1,3,0,0,0,41
0,2,1,0,1,0,46
5,0,1,1,7,2,16
3,1,12,2,0,0,41
0,2,0,1,1,0,104
7,1,2,2,11,1,38
5,0,0,1,1,0,32
3,1,3,1,0,0,18
2,1,0,0,0,0,8
6,1,1,1,3,0,52
5,1,2,1,3,0,20
2,1,0,0,0,0,5
6,1,5,1,3,0,36
3,1,0,0,6,0,32
2,0,0,1,0,0,12
0,0,0,0,0,0,9
5,2,3,0,4,0,36
1,2,0,0,0,0,30
2,0,0,1,5,0,56
8,1,7,1,9,0,60
2,1,1,0,4,0,32
1,1,0,1,0,0,80
1,1,0,0,0,0,30
1,0,1,1,0,0,10
3,3,9,1,12,0,72
4,1,3,0,0,0,38
5,1,0,1,0,0,10
1,3,0,0,2,0,29
1,1,0,1,2,1,30
3,2,0,0,2,0,28
1,0,1,1,6,0,34
4,0,0,1,1,1,36
1,1,0,1,0,0,19
2,0,0,1,2,0,15
3,1,1,3,0,0,22
4,1,1,0,2,0,11
2,1,2,1,7,0,75
2,2,0,1,0,0,22
3,1,7,0,0,0,52
1,0,0,1,0,0,9
4,1,0,1,4,3,14
5,1,1,1,2,1,20
2,1,0,1,1,0,33
3,1,0,1,2,3,6
4,1,1,1,0,0,6
3,1,0,1,0,0,12
1,1,0,1,4,2,20
4,1,0,1,0,0,11
3,1,1,1,0,0,17
1,0,0,2,0,0,18
1,1,0,0,0,0,5
1,1,0,1,2,0,20
0,4,0,1,0,0,16
0,2,0,0,0,0,68
0,1,0,0,4,0,36
2,0,0,0,0,0,24
0,1,0,0,0,0,8
3,1,1,1,4,0,72
1,2,1,0,3,0,18
4,1,0,1,3,1,28
3,0,0,0,0,0,16
5,1,0,1,1,0,14
3,1,1,1,0,2,14
5,1,3,2,4,0,60
1,1,3,3,4,0,62
7,0,0,1,3,0,18
3,0,1,0,0,0,42
1,0,0,0,0,0,4
1,1,0,1,0,0,7
1,0,0,1,0,0,8
3,1,3,0,14,0,117
3,1,0,1,2,0,6
8,1,0,1,4,0,26
2,1,0,1,0,0,10
3,3,0,0,0,0,25
4,0,0,1,1,2,39
5,1,8,1,1,0,44
3,1,0,1,0,0,6
2,2,0,1,0,0,14
1,1,0,0,0,0,9
4,1,1,1,0,0,36
3,0,0,1,2,0,16
5,0,2,1,2,0,12
0,0,0,0,0,0,10
2,0,0,1,0,0,4
1,1,0,1,1,0,9
0,1,0,1,4,0,47
3,0,1,1,1,0,18
3,0,0,0,0,0,5
1,1,1,1,2,0,5
0,1,0,1,0,0,18
1,1,1,0,0,0,11
6,1,1,1,0,0,18
2,0,1,1,0,0,16
1,1,0,0,0,0,22
0,1,0,0,0,0,58
6,1,0,1,2,5,6
3,1,0,0,1,0,56
4,1,0,1,1,0,14
3,1,0,1,2,0,12
1,1,0,0,0,0,11
5,1,3,3,0,0,46
0,1,0,0,0,0,48
1,1,2,1,2,0,38
1,1,0,1,0,0,20
3,0,2,1,1,0,34
0,1,1,0,0,0,20
1,0,0,0,0,0,14
3,2,0,1,2,0,8
4,1,0,1,9,1,28
2,1,0,0,1,0,5
4,0,0,0,0,0,16
1,0,0,0,0,0,12
2,1,0,1,0,0,14
1,0,0,2,3,0,7
0,0,0,1,5,0,5
0,0,0,1,8,0,60
4,0,0,0,0,0,17
3,2,0,1,3,0,34
2,1,0,0,0,0,10
5,1,0,1,2,1,38
4,1,0,2,3,0,38
1,0,4,1,0,0,34
5,1,4,1,4,0,58
3,0,0,1,1,0,16
0,0,0,0,0,0,13
3,1,1,0,1,0,38
3,0,1,0,0,0,22
4,1,1,0,3,0,40
4,1,8,1,1,0,38
4,1,1,0,0,0,46
2,0,0,1,0,0,8
2,0,0,0,0,0,24
1,0,0,1,1,0,12
1,0,1,1,1,0,8
1,0,0,0,0,0,3
1,0,0,0,0,0,6
0,1,1,0,1,0,38
1,0,0,0,0,0,5
2,1,0,0,0,0,8
1,1,0,1,0,0,16
1,1,0,1,0,0,10
3,1,1,1,1,0,32
2,0,0,1,0,0,8
6,0,0,1,0,0,4
3,0,0,1,1,0,14
6,1,2,1,1,0,38
1,1,0,1,1,1,14
2,2,0,1,2,0,36
0,0,0,0,0,0,17
5,1,1,0,0,0,8
3,1,2,1,0,0,14
1,1,5,0,0,0,19
0,1,1,0,0,0,7
3,1,0,2,0,0,10
4,1,0,1,6,0,18
5,1,0,2,1,0,24
5,1,0,0,0,0,32
8,1,2,1,3,4,60
3,2,0,1,1,0,18
0,1,0,1,7,0,32
2,0,1,0,2,0,17
6,1,1,1,2,0,17
3,0,0,0,1,0,12
3,1,1,1,10,0,29
2,1,0,1,2,0,8
2,1,0,1,4,0,16
1,1,0,0,2,0,17
2,1,0,1,4,0,22
3,1,0,1,0,0,7
0,1,0,0,0,0,34
3,1,0,1,0,1,22
2,1,0,1,0,0,18
1,0,0,1,0,0,15
1,3,0,0,1,0,10
4,0,1,0,0,0,9
4,0,0,1,1,0,36
3,1,5,0,0,0,52
1,1,2,1,1,0,16
1,0,2,1,5,0,12
3,1,0,1,0,2,14
1,1,2,1,13,5,38
2,0,0,0,1,0,12
0,0,0,1,2,0,9
1,1,0,1,0,0,6
1,0,0,0,0,0,4
0,1,0,1,0,0,18
1,3,1,0,3,0,15
2,0,2,1,0,0,9
5,0,0,1,0,0,2
3,1,0,1,0,0,10
4,1,0,1,1,0,18
1,0,0,0,0,0,4
4,0,0,1,3,0,28
2,0,0,1,0,0,5
3,1,0,2,0,0,26
0,0,0,0,0,0,8
0,0,0,1,0,0,4
1,0,7,0,0,0,13
6,0,0,0,1,0,15
0,0,0,0,0,0,1
3,1,0,0,1,0,16
