Франке, Ян: 0.0
Drugush, Yakim Mikhaylovich: 0.17
Budinas, Borisas Leonardovich: 0.17
Krupski, Vladimir Nikolaevich: 0.17
Shum, Alexandr Anatol'evich: 0.17
Kuzichev, Andrey Alexandrovich: 0.17
Vereshchagin, Nikolay Konstantinovich: 0.17
Pankrat'ev, Nikolay Anatol'evich: 0.17
Rojkovskaia, Natalia A.: 0.17
Матвеев, Владимир С.: 0.17
Болсинов, Алексей В.: 0.17
Pushin, Oleg: 0.17
Voronov, Alexander A.: 0.17
Belskii, Arkadii Aleksandrovich: 0.17
Demidov, Evgenij Evgen'evich: 0.17
Frumkin, M.: 0.17
Kolmykov, Vladislav Alekseevich: 0.17
Kurchanov, Pavel Fedorvich: 0.17
Lebedev, D.: 0.17
Levin, A.: 0.17
Martynov, B.: 0.17
Mustafin, G.: 0.17
Roitman, A.: 0.17
Shermenev, Aleksandr Mikhailovich: 0.17
Vainberg, Yu.: 0.17
Verevkin, Andrey Borisovich: 0.17
Penkov, Ivan B.: 0.17
Vishik, Mikhail M.: 0.17
Yakimova, Oksana Sergeevna: 0.17
Скопенков, Аркадий Борисович: 0.17
Великанова, Татьяна Михайловна: 0.171
Kulikow, Walentin Stepanowitsch: 0.18
Зархин, Юрий Геннадьевич: 0.18
Lyapin, Evgeny Sergeevich: 0.18
Иде, Иван Андреевич: 0.18
Hlaváček, Ivan: 0.18
Q12767670: 0.18
Dobrakov, Ivan: 0.18
Bobenko, Alexander Iwanowitsch: 0.18
Беллюстин, Всеволод Константинович: 0.18
Saxl, Ivan: 0.18
Лобанов, Владимир: 0.18
Tsygan, Boris: 0.18
Зетель, Семён Исаакович: 0.18
Шольц, Владимир Германович: 0.18
Головин, Михаил Евсеевич: 0.189
Литягин, Андрей: 0.189
Рост, Иван Акимович: 0.189
Hertz, Karol: 0.189
Крыжановский, Дмитрий Антонович: 0.189
Глазман, Израиль Маркович: 0.189
Rosenberg, Alexander L.: 0.189
Тимченко, Иван Юрьевич: 0.198
Q3920128: 0.198
Q11755342: 0.198
Kharlamov, Viatcheslav: 0.198
Schechtman, Vadim: 0.198
Palamodov, Victor Pavlovich: 0.198
Гришов, Августин Нафанаил: 0.208
Ковалевский, Максим Евграфович: 0.208
Ребане, Хелью: 0.208
Усманов, Гумер Исмагилович: 0.208
Гурвиц, Юлий Осипович: 0.208
Жебравский, Теофил: 0.218
Бабчиньский, Тытус: 0.218
Эйгес, Владимир Романович: 0.219
Либер, Александр Витальевич: 0.227
Мейланов, Вазиф Сиражутдинович: 0.227
Габих, Эдвард Ян: 0.227
Литвинова, Елизавета: 0.237
Кран, Эдгар: 0.247
Кузнецов, Борис Николаевич (учёный): 0.29
Ерёмин, Борис Львович: 0.3
Lesokhin, Mikhail Moiseevich: 0.3
Посицельский, Леонид Ефимович: 0.3
Квасов, Дмитрий Евгеньевич: 0.3
Квасов, Борис Ильич: 0.3
Доморяд, Александр Петрович: 0.3
Треиль, Сергей Раймондович: 0.3
Старченко, Сергей Степанович: 0.309
Бермант, Анисим: 0.31
Бушен, Артур Богданович фон: 0.31
Глаголев, Александр Николаевич: 0.31
Джураев, Абубакир Мухтарович: 0.31
Ивлев, Борис Михайлович: 0.31
Костелянец, Пётр Оскарович: 0.31
Кропоткин, Александр Алексеевич: 0.31
Кулишер, Александр Рувимович: 0.31
Лахути, Делир Гасемович: 0.31
Лукьянов, Яков Афанасьевич: 0.31
Макаров, Николай Иванович: 0.31
Максимович, Александр Петрович: 0.31
Поваров, Геллий Николаевич: 0.31
Погожев, Иван Борисович: 0.31
Погорельский, Платон Николаевич: 0.31
Проценко, Владимир Сидорович: 0.31
Сабинин, Егор Фёдорович: 0.31
Софронов, Михаил (математик): 0.31
Тер-Крикоров, Александр Мартынович: 0.31
Фёдоров, Илья: 0.31
Хохлюк, Виталий Иванович: 0.31
Q6516841: 0.31
Исаков, Виктор: 0.31
Q12078796: 0.31
Q12089871: 0.31
Q12097767: 0.31
Лагно, Виктор Иванович: 0.31
Овсиенко, Сергей Адамович: 0.31
Q13030226: 0.31
Lihoded, Nikolay Aleksandrovich: 0.31
Бессель, Александр Васильевич: 0.31
